Name,Username,Private,Role,Following,Badge,Icon,ProfileURL,UserID
ビッキ,Kit_mania914,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1994868157337800704/BIGnycRI.jpg,https://x.com/Kit_mania914,1916372702740508672
addicted_mania【中̤̮毒̤̣者̤̯】,Addicted_Mania,No,Member,No,None,https://pbs.twimg.com/profile_images/1932201845403078656/3i_1R5nv.jpg,https://x.com/Addicted_Mania,1921361933812563968
キノキノ_mania,asobanai_kino,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1959489211947745280/q3cZk13O.jpg,https://x.com/asobanai_kino,1733727862107353088
テリー・ボガード名言bot,TerrymeigenBOT,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2025737004429045760/bZqN-OzK.jpg,https://x.com/TerrymeigenBOT,1821068248357711872
黒歴史mania,hikakin_TNTN_,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1978094412040130560/Kq65sDck.jpg,https://x.com/hikakin_TNTN_,1805560551357267970
デドビ2,deadbeak2,No,Member,No,None,https://pbs.twimg.com/profile_images/2034899429669707777/JpS9o07d.jpg,https://x.com/deadbeak2,2007822828901658624
𝓡𝓲𝓷,Rin_style173,No,Member,No,None,https://pbs.twimg.com/profile_images/1642046885505675264/ieyfViUX.jpg,https://x.com/Rin_style173,1430583024739966976
サワタリ,griffonmask11,No,Member,No,None,https://pbs.twimg.com/profile_images/1936239405502439424/mM-LwVLk.jpg,https://x.com/griffonmask11,1373059519
フォローキン,hikama_follow,No,Member,No,None,https://pbs.twimg.com/profile_images/1953710093415198727/R8pHmn-M_normal.jpg,https://x.com/hikama_follow,1809921913197887488
デカチンTV_mania,BIGPENISTVMANIA,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1957660898073743360/8F2_NG8__normal.jpg,https://x.com/BIGPENISTVMANIA,1954711898471161856
プリズマ☆ミサカ,illya_mania,Yes,Member,Yes,None,https://pbs.twimg.com/profile_images/2014677599075946496/T_7Y3uDu_normal.jpg,https://x.com/illya_mania,1884236520581931008
宮島俊太郎,tel_0808,No,Member,Yes,None,,https://x.com/tel_0808,1919641835200512000
竜田川,Montiti_mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1996184339659538432/ff0eqAAr_normal.jpg,https://x.com/Montiti_mania,1667530909229408257
Vesta_mania@千歳提督,Admiral_Chitose,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1984628989349281792/4SaVIiYF_normal.jpg,https://x.com/Admiral_Chitose,1431043469695275011
スピカ,Spivellune,Yes,Member,Yes,None,https://pbs.twimg.com/profile_images/2026615653009076226/fxXvg7Xy_normal.jpg,https://x.com/Spivellune,1904096113629749248
醤油_mania,shoyu_mani,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2027737195436777472/yzys6A2y_normal.jpg,https://x.com/shoyu_mani,1887623506130837505
山本太郎_Mania,yamamoto_Manla,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1942142456801157120/9IwfpctK_normal.jpg,https://x.com/yamamoto_Manla,1852295042200895488
日野森雫名言bot,HnmrSzkmeigen,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1954945662195572736/taITyqHl_normal.jpg,https://x.com/HnmrSzkmeigen,1869709614721482753
ドブカスキン,HIKAKINMANlA,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2017259116050403328/4-1csvZe_normal.jpg,https://x.com/HIKAKINMANlA,1946926668008108032
Earthquake_Mania,EQ_mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2032357245351325696/c-zI57fl_normal.jpg,https://x.com/EQ_mania,1882326509656133632
Arabic_mania,Arabic_Mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1955998564385234945/CmE1D_NE_normal.jpg,https://x.com/Arabic_Mania,1708852621338144768
SEKAマー,Nuru_chan19,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2036417609151954944/z4lBeumi_normal.jpg,https://x.com/Nuru_chan19,1655132424458895361
カスｺﾞﾐ_mania,ksmania1,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2018927035603898368/wSTfXX3W_normal.jpg,https://x.com/ksmania1,1954321842354933760
か,R1N_2222,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2001168765900455936/KN9qCbw9_normal.jpg,https://x.com/R1N_2222,1871120972180598784
ひままにあ,himama_mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2016778170259943424/R0dDXt_5_normal.jpg,https://x.com/himama_mania,1923405564585058304
光回線_mania,hikarikaisen_,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1956054291460055042/yFL4_3pC_normal.jpg,https://x.com/hikarikaisen_,1956047567537758209
カギマニ@ツイ廃王,daimanifan,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2032840728599310336/_ZBOkZcS_normal.jpg,https://x.com/daimanifan,1758492579115765760
こっちゃん,kocchann114514,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2036319473775550464/MiFpMZXM_normal.jpg,https://x.com/kocchann114514,1945758691887910913
ハムスターmania,mania31830224,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1956760727412490241/CZB4igvH_normal.jpg,https://x.com/mania31830224,1784611430085619712
東雲マニア,shanghai0801,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2036006614973767680/FwgkPZ2P_normal.jpg,https://x.com/shanghai0801,1729041189591298048
海賊版開發光型ヒカキン型フワッティー試作品_maniaキンTV【公式】,maniaTV114514,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1956328691916832768/GP3OLopL_normal.jpg,https://x.com/maniaTV114514,1956328338823524352
滑稽_mania,kokkei_mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1956276606764507137/7Fob9LAk_normal.jpg,https://x.com/kokkei_mania,1952688273752719360
偽川名言bot,nskw_PTCG,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2035617276892942336/peb-WA0g_normal.jpg,https://x.com/nskw_PTCG,1938914796927356928
余接_mania,yotseugi,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1988256143018520577/vvPKv9E-_normal.jpg,https://x.com/yotseugi,1903385537668628480
塩化マニア,77IdrLkXJ698746,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1958564141339398144/UUBibJPL_normal.jpg,https://x.com/77IdrLkXJ698746,1936032889097117696
おかゆ,okayujr717,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1959539446522753024/-wEkKeaf_normal.jpg,https://x.com/okayujr717,1674021383700099072
Chestnutree,Chestnutree04,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1967840148151996418/nDteujns_normal.jpg,https://x.com/Chestnutree04,1793007705608921088
壁紙キラー_mania,Kabekira_mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2016544610361982977/1V-nQ9pF_normal.jpg,https://x.com/Kabekira_mania,1917225101340336128
ネオ銀_mania@おぜう派,4kkLye,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1961058537444089856/l0ZvOdWm_normal.jpg,https://x.com/4kkLye,1956666945484529664
なると,asa__2nd,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1968423007095021568/y-WHvOos_normal.png,https://x.com/asa__2nd,1893630953928744960
ロド(｀・ω・´)ゞ,yoshitatsu_sub,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1946435766189793280/9m_2QVFT_normal.jpg,https://x.com/yoshitatsu_sub,1945247714486444032
re2,re_2mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2000981364603297792/idMMEgkB_normal.jpg,https://x.com/re_2mania,1688733037675393024
六月 気違いのシェパード 涎を唾らす,DONOTRUSTOVER30,Yes,Member,No,None,https://pbs.twimg.com/profile_images/1909840074382229504/PdixFn0i_normal.jpg,https://x.com/DONOTRUSTOVER30,1534895904368791553
毒タイプのマモショー,otukaresama252,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1939164068532654080/Ok5Ve3MS_normal.jpg,https://x.com/otukaresama252,1905875747795034112
エミリー,Emily_Emily_FNF,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1964725325423874048/KXs0f0HG_normal.jpg,https://x.com/Emily_Emily_FNF,1501181707004698629
豆柴,qRWD9Nx1uaV5caV,Yes,Member,Yes,None,https://pbs.twimg.com/profile_images/1768812626988195841/wgUEyzRq_normal.jpg,https://x.com/qRWD9Nx1uaV5caV,1186203949935628288
MSペイント暇ツーボイ,iamhikamer2boy,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1787745827668238336/MV7mQP6V_normal.jpg,https://x.com/iamhikamer2boy,1752325318302711808
ヒカふつ,hika_futu,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1961708388787867648/OuAJJNFB_normal.jpg,https://x.com/hika_futu,1872257558704259073
りどあ,lidoa_00,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1976311832819404800/fknGm98l_normal.jpg,https://x.com/lidoa_00,1679891695247441923
シノマニ(プラま),Puramadesu_,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1961710900811071488/cw1gHdZT_normal.jpg,https://x.com/Puramadesu_,1808728246072324097
わくさん,Wakusandesuyo,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2033832766513762304/iDoZEh90_normal.jpg,https://x.com/Wakusandesuyo,1939829042842411010
マヒ_mania,Mahiro_niki,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2020779891843862528/iv6Un8iQ_normal.jpg,https://x.com/Mahiro_niki,1657576682713382914
なっと、ゥ_mania ,monkey_masuka,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2033166385900306432/VAZuSZC0_normal.jpg,https://x.com/monkey_masuka,1798592617795768320
ブドウ糖,Mairukun_Mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1984995832983363584/Q0gnAVWD_normal.jpg,https://x.com/Mairukun_Mania,1835306100549472256
プリズムマリーン,hikamernano,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1982004239053230080/aqECa7L3_normal.jpg,https://x.com/hikamernano,1775412075336204288
Lightningキン,Kaihatsu_yogish,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2009621551029813249/gsykjVEb_normal.jpg,https://x.com/Kaihatsu_yogish,1795226752530382848
墓ミドリ,Saiba_midori_O,Yes,Member,Yes,None,https://pbs.twimg.com/profile_images/2034631941727965185/4fXBy39R_normal.jpg,https://x.com/Saiba_midori_O,1953272861994696707
Uranus_mania,sodafurooto,No,Moderator,Yes,None,https://pbs.twimg.com/profile_images/2023804764799266816/9JvC3V4Q_normal.jpg,https://x.com/sodafurooto,1824966834267049984
",レモ.",nad36816435,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2025580972235014144/2dqrhled_normal.jpg,https://x.com/nad36816435,1761005125081194496
サタン_mania,donpach84979058,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2031994720587825154/rtc0ud3o_normal.jpg,https://x.com/donpach84979058,1638769157188751360
